obs_wl_air(nm),ritz_wl_air(nm),intens,Aki(10^8 s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""382.93549""","=""382.93547""","=""36""","=""8.99e-01""",B+,"=""21850.405""","=""47957.058""","=""3s.3p""","=""3P*""","=""0""","=""3s.3d""","=""3D""","=""1""",,"=""c45""","=""L7428""",
"=""""","=""382.9359""","=""""","=""2.11e-13""",B,"=""21850.405""","=""47957.027""","=""3s.3p""","=""3P*""","=""0""","=""3s.3d""","=""3D""","=""2""",M2,"=""c43""","=""""",
"=""383.168""","=""383.168""","=""a""","=""""",,"=""35051.264""","=""61142.1""","=""3s.3p""","=""1P*""","=""1""","=""3s.15d""","=""1D""","=""2""",,"=""""","=""L4057""",
"=""""","=""383.2299""","=""""","=""7.17e-13""",B,"=""21870.464""","=""47957.058""","=""3s.3p""","=""3P*""","=""1""","=""3s.3d""","=""3D""","=""1""",M2,"=""c43""","=""""",
"=""383.22996""","=""383.22993""","=""""","=""6.74e-01""",B+,"=""21870.464""","=""47957.058""","=""3s.3p""","=""3P*""","=""1""","=""3s.3d""","=""3D""","=""1""",,"=""c45""","=""L7428""",
"=""""","=""383.2301""","=""""","=""2.20e-13""",B,"=""21870.464""","=""47957.045""","=""3s.3p""","=""3P*""","=""1""","=""3s.3d""","=""3D""","=""3""",M2,"=""c43""","=""""",
"=""383.23037""","=""383.23039""","=""38""","=""1.21e+00""",B+,"=""21870.464""","=""47957.027""","=""3s.3p""","=""3P*""","=""1""","=""3s.3d""","=""3D""","=""2""",,"=""c45""","=""L7428""",
"=""""","=""383.2304""","=""""","=""6.36e-12""",B+,"=""21870.464""","=""47957.027""","=""3s.3p""","=""3P*""","=""1""","=""3s.3d""","=""3D""","=""2""",M2,"=""c43""","=""""",
"=""""","=""383.8290""","=""""","=""1.80e-14""",C,"=""21911.178""","=""47957.058""","=""3s.3p""","=""3P*""","=""2""","=""3s.3d""","=""3D""","=""1""",M2,"=""c43""","=""""",
"=""""","=""383.8290""","=""""","=""4.48e-02""",B,"=""21911.178""","=""47957.058""","=""3s.3p""","=""3P*""","=""2""","=""3s.3d""","=""3D""","=""1""",,"=""c45""","=""""",
"=""383.82918""","=""383.82919""","=""40""","=""1.61e+00""",B+,"=""21911.178""","=""47957.045""","=""3s.3p""","=""3P*""","=""2""","=""3s.3d""","=""3D""","=""3""",,"=""c45""","=""L7428""",
"=""""","=""383.8292""","=""""","=""2.04e-11""",B+,"=""21911.178""","=""47957.045""","=""3s.3p""","=""3P*""","=""2""","=""3s.3d""","=""3D""","=""3""",M2,"=""c43""","=""""",
"=""383.82943""","=""383.82946""","=""""","=""4.03e-01""",B+,"=""21911.178""","=""47957.027""","=""3s.3p""","=""3P*""","=""2""","=""3s.3d""","=""3D""","=""2""",,"=""c45""","=""L7428""",
"=""""","=""383.8295""","=""""","=""3.28e-12""",B,"=""21911.178""","=""47957.027""","=""3s.3p""","=""3P*""","=""2""","=""3s.3d""","=""3D""","=""2""",M2,"=""c43""","=""""",
"=""384.370""","=""384.370""","=""a""","=""""",,"=""35051.264""","=""61060.5""","=""3s.3p""","=""1P*""","=""1""","=""3s.14d""","=""1D""","=""2""",,"=""""","=""L4057""",
"=""""","=""384.4951""","=""""","=""1.46e-07""",B+,"=""21850.405""","=""47851.162""","=""3s.3p""","=""3P*""","=""0""","=""3s.4p""","=""3P*""","=""2""",E2,"=""c43""","=""""",
