obs_wl_air(nm),ritz_wl_air(nm),intens,Aki(10^8 s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""399.10797""","=""399.10795+""","=""20""","=""""",,"=""80916.7680""","=""105965.562""","=""4s2.4p5.(2P*<3/2>).5s""","=""2[3/2]*""","=""1""","=""4s2.4p5.(2P*<3/2>).4f""","=""2[3/2]""","=""2""",,"=""""","=""L7350""",
"=""399.12581""","=""399.12574+""","=""10""","=""""",,"=""80916.7680""","=""105964.446""","=""4s2.4p5.(2P*<3/2>).5s""","=""2[3/2]*""","=""1""","=""4s2.4p5.(2P*<3/2>).4f""","=""2[3/2]""","=""1""",,"=""""","=""L7350""",
"=""399.482""","=""399.4759+""","=""3""","=""""",,"=""85846.7046""","=""110872.43""","=""4s2.4p5.(2P*<1/2>).5s""","=""2[1/2]*""","=""1""","=""4s2.4p5.(2P*<3/2>).10p""","=""2[1/2]""","=""1""",,"=""""","=""L7408""",
"=""400.072""","=""400.0716+""","=""2""","=""""",,"=""85191.6166""","=""110180.08""","=""4s2.4p5.(2P*<1/2>).5s""","=""2[1/2]*""","=""0""","=""4s2.4p5.(2P*<3/2>).9p""","=""2[1/2]""","=""1""",,"=""""","=""L7408""",
"=""402.803""","=""402.8026+""","=""1""","=""""",,"=""85846.7046""","=""110665.75""","=""4s2.4p5.(2P*<1/2>).5s""","=""2[1/2]*""","=""1""","=""4s2.4p5.(2P*<3/2>).7f""","=""2[5/2]""","=""2""",,"=""""","=""L7408""",
"=""402.966""","=""402.9607+""","=""2*""","=""""",,"=""85846.7046""","=""110656.01""","=""4s2.4p5.(2P*<1/2>).5s""","=""2[1/2]*""","=""1""","=""4s2.4p5.(2P*<3/2>).7f""","=""2[3/2]""","=""2""",,"=""""","=""L7408""",
"=""402.966""","=""402.9698+""","=""2*""","=""""",,"=""85846.7046""","=""110655.45""","=""4s2.4p5.(2P*<1/2>).5s""","=""2[1/2]*""","=""1""","=""4s2.4p5.(2P*<3/2>).7f""","=""2[3/2]""","=""1""",,"=""""","=""L7408""",
"=""405.657""","=""405.6549+""","=""3""","=""""",,"=""85191.6166""","=""109836.15""","=""4s2.4p5.(2P*<1/2>).5s""","=""2[1/2]*""","=""0""","=""4s2.4p5.(2P*<3/2>).6f""","=""2[3/2]""","=""1""",,"=""""","=""L7408""",
"=""408.690""","=""408.6914+""","=""2""","=""""",,"=""85846.7046""","=""110308.14""","=""4s2.4p5.(2P*<1/2>).5s""","=""2[1/2]*""","=""1""","=""4s2.4p5.(2P*<3/2>).9p""","=""2[1/2]""","=""0""",,"=""""","=""L7408""",
"=""409.784""","=""409.7855+""","=""1""","=""""",,"=""85846.7046""","=""110242.83""","=""4s2.4p5.(2P*<1/2>).5s""","=""2[1/2]*""","=""1""","=""4s2.4p5.(2P*<3/2>).9p""","=""2[3/2]""","=""2""",,"=""""","=""L7408""",
"=""410.843""","=""410.8423+""","=""3""","=""""",,"=""85846.7046""","=""110180.08""","=""4s2.4p5.(2P*<1/2>).5s""","=""2[1/2]*""","=""1""","=""4s2.4p5.(2P*<3/2>).9p""","=""2[1/2]""","=""1""",,"=""""","=""L7408""",
"=""416.448""","=""416.4442+""","=""2""","=""""",,"=""85846.7046""","=""109852.76""","=""4s2.4p5.(2P*<1/2>).5s""","=""2[1/2]*""","=""1""","=""4s2.4p5.(2P*<3/2>).6f""","=""2[5/2]""","=""2""",,"=""""","=""L7408""",
