obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,intens,Aki(10^8 s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""422.2466""","=""0.0010""","=""422.2467""","=""0.0014""","=""6100*""","=""""",,"=""64086.96961""","=""87763.14""","=""2s.2p3""","=""3D*""","=""3""","=""2s2.2p.(2P*<1/2>).6f""","=""2[7/2]""","=""4""",,"=""""","=""L17684""",
"=""422.3159""","=""0.0010""","=""422.3152""","=""0.0003""","=""9200*""","=""""",,"=""64089.8990""","=""87762.23""","=""2s.2p3""","=""3D*""","=""1""","=""2s2.2p.(2P*<1/2>).6f""","=""2[5/2]""","=""2""",,"=""""","=""L17684""",
"=""422.3159""","=""0.0010""","=""422.3172""","=""0.0011""","=""9200*""","=""""",,"=""64090.99351""","=""87763.21""","=""2s.2p3""","=""3D*""","=""2""","=""2s2.2p.(2P*<1/2>).6f""","=""2[7/2]""","=""3""",,"=""""","=""L17684""",
"=""422.3360""","=""0.0010""","=""422.3347""","=""0.0003""","=""6100*""","=""""",,"=""64090.99351""","=""87762.23""","=""2s.2p3""","=""3D*""","=""2""","=""2s2.2p.(2P*<1/2>).6f""","=""2[5/2]""","=""2""",,"=""""","=""L17684""",
"=""422.3360""","=""0.0010""","=""422.3361""","=""0.0009""","=""6100*""","=""""",,"=""64090.99351""","=""87762.15""","=""2s.2p3""","=""3D*""","=""2""","=""2s2.2p.(2P*<1/2>).6f""","=""2[5/2]""","=""3""",,"=""""","=""L17684""",
"=""422.8326""","=""0.0005""","=""422.83269""","=""0.00007""","=""13000""","=""""",,"=""61981.83211""","=""85625.190""","=""2s2.2p.3s""","=""1P*""","=""1""","=""2s2.2p.5p""","=""1S""","=""0""",,"=""""","=""L17684""",
"=""""","=""""","=""424.6448""","=""0.0003""","=""""","=""""",,"=""10192.657""","=""33735.121""","=""2s2.2p2""","=""1D""","=""2""","=""2s.2p3""","=""5S*""","=""2""",,"=""""","=""""",
"=""426.90197""","=""0.00012""","=""426.90179""","=""0.00009""","=""21000bl""","=""2.1e-02""",E,"=""61981.83211""","=""85399.833""","=""2s2.2p.3s""","=""1P*""","=""1""","=""2s2.2p.5p""","=""1D""","=""2""",,"=""T9787""","=""L12175c183""",
"=""434.1640""","=""0.0005""","=""434.16453""","=""0.00023""","=""6000""","=""""",,"=""64086.96961""","=""87113.239""","=""2s.2p3""","=""3D*""","=""3""","=""2s2.2p.6p""","=""3P""","=""2""",,"=""""","=""L17684""",
"=""434.2396""","=""0.0005""","=""434.24042""","=""0.00023""","=""2300""","=""""",,"=""64090.99351""","=""87113.239""","=""2s.2p3""","=""3D*""","=""2""","=""2s2.2p.6p""","=""3P""","=""2""",,"=""""","=""L17684""",
"=""434.4111""","=""0.0005""","=""434.4104""","=""0.0003""","=""1900""","=""""",,"=""64089.8990""","=""87103.134""","=""2s.2p3""","=""3D*""","=""1""","=""2s2.2p.6p""","=""3P""","=""1""",,"=""""","=""L17684""",
"=""434.4309""","=""0.0005""","=""434.4311""","=""0.0003""","=""2800""","=""""",,"=""64090.99351""","=""87103.134""","=""2s.2p3""","=""3D*""","=""2""","=""2s2.2p.6p""","=""3P""","=""1""",,"=""""","=""L17684""",
"=""434.8966""","=""0.0005""","=""434.8967""","=""0.0004""","=""2300""","=""""",,"=""64089.8990""","=""87077.402""","=""2s.2p3""","=""3D*""","=""1""","=""2s2.2p.6p""","=""3P""","=""0""",,"=""""","=""L17684""",
