obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,intens,Aki(10^8 s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""489.7482""","=""0.0012""","=""489.7482""","=""0.0012""","=""""","=""""",,"=""62350.325""","=""82763.28""","=""5d10.6s.7s""","=""3S""","=""1""","=""5d10.6s.13p""","=""3P*""","=""0""",,"=""""","=""L11984""",
"=""491.6068""","=""0.0010""","=""491.6045""","=""0.0005""","=""20""","=""5.8e-02""",D+,"=""54068.6829""","=""74404.56""","=""5d10.6s.6p""","=""1P*""","=""1""","=""5d10.6s.8s""","=""1S""","=""0""",,"=""T5292""","=""L3451""",
"=""496.010""","=""0.010""","=""496.017""","=""0.004""","=""100""","=""""",,"=""76945.27""","=""97100.23""","=""5d9.6s2.(2D<5/2>).6p""","=""2[7/2]*""","=""4""","=""5d9.6s2.(2D<5/2>).7s""","=""2[5/2]""","=""3""",,"=""""","=""L1310c86""",
"=""497.0370""","=""0.0005""","=""497.0374""","=""0.0003""","=""6""","=""""",,"=""62350.325""","=""82463.923""","=""5d10.6s.7s""","=""3S""","=""1""","=""5d10.6s.12p""","=""1P*""","=""1""",,"=""""","=""L3499""",
"=""498.0640""","=""0.0005""","=""498.0639""","=""0.0005""","=""6""","=""""",,"=""62350.325""","=""82422.47""","=""5d10.6s.7s""","=""3S""","=""1""","=""5d10.6s.12p""","=""3P*""","=""2""",,"=""""","=""L3499""",
"=""499.1601""","=""0.0012""","=""499.1604""","=""0.0012""","=""""","=""""",,"=""62350.325""","=""82378.38""","=""5d10.6s.7s""","=""3S""","=""1""","=""5d10.6s.12p""","=""3P*""","=""1""",,"=""""","=""L11984""",
"=""499.2593""","=""0.0012""","=""499.2596""","=""0.0012""","=""""","=""""",,"=""62350.325""","=""82374.40""","=""5d10.6s.7s""","=""3S""","=""1""","=""5d10.6s.12p""","=""3P*""","=""0""",,"=""""","=""L11984""",
"=""502.56""","=""0.02""","=""502.56307""","=""0.00020""","=""3""","=""2.67e-04""",B,"=""54068.6829""","=""73961.135""","=""5d10.6s.6p""","=""1P*""","=""1""","=""5d10.6s.8s""","=""3S""","=""1""",,"=""T5292""","=""L7587c86""",
"=""504.58""","=""0.02""","=""504.569""","=""0.004""","=""2""","=""""",,"=""77286.86""","=""97100.23""","=""5d10.6s.5f""","=""3F*""","=""4""","=""5d9.6s2.(2D<5/2>).7s""","=""2[5/2]""","=""3""",,"=""""","=""L7587c86""",
"=""510.2705""","=""0.0005""","=""510.2704""","=""0.0003""","=""30""","=""""",,"=""62350.325""","=""81942.318""","=""5d10.6s.7s""","=""3S""","=""1""","=""5d10.6s.11p""","=""1P*""","=""1""",,"=""""","=""L3499""",
"=""512.0637""","=""0.0005""","=""512.0637""","=""0.0005""","=""70""","=""""",,"=""62350.325""","=""81873.704""","=""5d10.6s.7s""","=""3S""","=""1""","=""5d10.6s.11p""","=""3P*""","=""2""",,"=""""","=""L3499""",
"=""513.7940""","=""0.0005""","=""513.7942""","=""0.0005""","=""30""","=""""",,"=""62350.325""","=""81807.95""","=""5d10.6s.7s""","=""3S""","=""1""","=""5d10.6s.11p""","=""3P*""","=""1""",,"=""""","=""L3499""",
"=""513.9926""","=""0.0013""","=""513.9928""","=""0.0013""","=""""","=""""",,"=""62350.325""","=""81800.43""","=""5d10.6s.7s""","=""3S""","=""1""","=""5d10.6s.11p""","=""3P*""","=""0""",,"=""""","=""L11984""",
"=""521.89""","=""0.02""","=""521.9440""","=""0.0014""","=""2""","=""""",,"=""63928.120""","=""83081.93""","=""5d10.6s.7s""","=""1S""","=""0""","=""5d10.6s.14p""","=""1P*""","=""1""",,"=""""","=""L7587c86""",
"=""529.0740""","=""0.0005""","=""529.0738""","=""0.0004""","=""30""","=""""",,"=""63928.120""","=""82823.816""","=""5d10.6s.7s""","=""1S""","=""0""","=""5d10.6s.13p""","=""1P*""","=""1""",,"=""""","=""L3499""",
"=""531.6776""","=""0.0005""","=""531.6776""","=""0.0003""","=""6""","=""""",,"=""62350.325""","=""81153.485""","=""5d10.6s.7s""","=""3S""","=""1""","=""5d10.6s.10p""","=""1P*""","=""1""",,"=""""","=""L3499c86""",
"=""535.4034""","=""0.0014""","=""535.4036""","=""0.0014""","=""130""","=""""",,"=""62350.325""","=""81022.63""","=""5d10.6s.7s""","=""3S""","=""1""","=""5d10.6s.10p""","=""3P*""","=""2""",,"=""""","=""L11984""",
"=""536.550""","=""0.010""","=""536.538""","=""0.006""","=""12""","=""""",,"=""78677.01""","=""97309.84""","=""5d9.6s2.(2D<5/2>).6p""","=""2[5/2]*""","=""2""","=""5d9.6s2.(2D<5/2>).7s""","=""2[5/2]""","=""2""",,"=""""","=""L1310c86""",
