obs_wl_air(nm),ritz_wl_air(nm),intens,Aki(10^8 s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""""","=""547.180""","=""""","=""1.39e-03""",D+,"=""96750.840""","=""115021.3""","=""2s2.2p2.(3P).3p""","=""4S*""","=""3/2""","=""2s2.2p2.(3P).8s""","=""4P""","=""5/2""",,"=""T5723LS""","=""""",
"=""""","=""549.652""","=""""","=""1.37e-03""",D+,"=""96750.840""","=""114939.1""","=""2s2.2p2.(3P).3p""","=""4S*""","=""3/2""","=""2s2.2p2.(3P).8s""","=""4P""","=""3/2""",,"=""T5723LS""","=""""",
"=""""","=""551.019""","=""""","=""1.36e-03""",D+,"=""96750.840""","=""114894.0""","=""2s2.2p2.(3P).3p""","=""4S*""","=""3/2""","=""2s2.2p2.(3P).8s""","=""4P""","=""1/2""",,"=""T5723LS""","=""""",
"=""""","=""551.1696""","=""""","=""1.29e-03""",C,"=""94770.880""","=""112909.076""","=""2s2.2p2.(3P).3p""","=""4D*""","=""1/2""","=""2s2.2p2.(3P).5d""","=""4D""","=""3/2""",,"=""u18,LS""","=""""",
"=""""","=""551.309""","=""""","=""2.57e-03""",C,"=""94770.880""","=""112904.5""","=""2s2.2p2.(3P).3p""","=""4D*""","=""1/2""","=""2s2.2p2.(3P).5d""","=""4D""","=""1/2""",,"=""u18,LS""","=""""",
"=""""","=""551.8102""","=""""","=""1.20e-03""",C,"=""94793.490""","=""112910.630""","=""2s2.2p2.(3P).3p""","=""4D*""","=""3/2""","=""2s2.2p2.(3P).5d""","=""4D""","=""5/2""",,"=""u18,LS""","=""""",
"=""""","=""551.8576""","=""""","=""2.05e-03""",C,"=""94793.490""","=""112909.076""","=""2s2.2p2.(3P).3p""","=""4D*""","=""3/2""","=""2s2.2p2.(3P).5d""","=""4D""","=""3/2""",,"=""u18,LS""","=""""",
"=""""","=""551.997""","=""""","=""2.56e-03""",C,"=""94793.490""","=""112904.5""","=""2s2.2p2.(3P).3p""","=""4D*""","=""3/2""","=""2s2.2p2.(3P).5d""","=""4D""","=""1/2""",,"=""u18,LS""","=""""",
"=""""","=""552.9380""","=""""","=""7.26e-04""",C,"=""94830.890""","=""112911.079""","=""2s2.2p2.(3P).3p""","=""4D*""","=""5/2""","=""2s2.2p2.(3P).5d""","=""4D""","=""7/2""",,"=""u18,LS""","=""""",
"=""""","=""552.9517""","=""""","=""2.92e-03""",C,"=""94830.890""","=""112910.630""","=""2s2.2p2.(3P).3p""","=""4D*""","=""5/2""","=""2s2.2p2.(3P).5d""","=""4D""","=""5/2""",,"=""u18,LS""","=""""",
"=""""","=""552.9992""","=""""","=""1.78e-03""",C,"=""94830.890""","=""112909.076""","=""2s2.2p2.(3P).3p""","=""4D*""","=""5/2""","=""2s2.2p2.(3P).5d""","=""4D""","=""3/2""",,"=""u18,LS""","=""""",
"=""""","=""554.5000""","=""""","=""4.33e-03""",C,"=""94881.820""","=""112911.079""","=""2s2.2p2.(3P).3p""","=""4D*""","=""7/2""","=""2s2.2p2.(3P).5d""","=""4D""","=""7/2""",,"=""u18,LS""","=""""",
"=""""","=""554.5138""","=""""","=""9.59e-04""",C,"=""94881.820""","=""112910.630""","=""2s2.2p2.(3P).3p""","=""4D*""","=""7/2""","=""2s2.2p2.(3P).5d""","=""4D""","=""5/2""",,"=""u18,LS""","=""""",
"=""""","=""555.7383""","=""""","=""9.94e-03""",C,"=""94770.880""","=""112759.966""","=""2s2.2p2.(3P).3p""","=""4D*""","=""1/2""","=""2s2.2p2.(3P).5d""","=""4F""","=""3/2""",,"=""u18,LS""","=""""",
"=""""","=""556.0337""","=""""","=""1.42e-02""",C,"=""94881.820""","=""112861.348""","=""2s2.2p2.(3P).3p""","=""4D*""","=""7/2""","=""2s2.2p2.(3P).5d""","=""4F""","=""9/2""",,"=""u18,LS""","=""""",
