obs_wl_air(nm),ritz_wl_air(nm),intens,Aki(10^8 s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""617.277""","=""617.277""","=""3""","=""6.26e-03""",D,"=""64888.964""","=""81084.67""","=""3s2.3p3.(4S*).4p""","=""3P""","=""1""","=""3s2.3p3.(4S*).7d""","=""3D*""","=""1""",,"=""T7952""","=""L7444,L7427""",
"=""617.361""","=""617.361""","=""7""","=""1.13e-02""",D,"=""64888.964""","=""81082.46""","=""3s2.3p3.(4S*).4p""","=""3P""","=""1""","=""3s2.3p3.(4S*).7d""","=""3D*""","=""2""",,"=""T7952""","=""L7444,L7427""",
"=""""","=""617.369+""","=""""","=""8.34e-03""",D,"=""64891.386""","=""81084.67""","=""3s2.3p3.(4S*).4p""","=""3P""","=""0""","=""3s2.3p3.(4S*).7d""","=""3D*""","=""1""",,"=""T7952""","=""""",
"=""""","=""617.415+""","=""""","=""4.17e-04""",E,"=""64892.582""","=""81084.67""","=""3s2.3p3.(4S*).4p""","=""3P""","=""2""","=""3s2.3p3.(4S*).7d""","=""3D*""","=""1""",,"=""T7952""","=""""",
"=""617.497""","=""617.499""","=""3""","=""3.76e-03""",D,"=""64892.582""","=""81082.46""","=""3s2.3p3.(4S*).4p""","=""3P""","=""2""","=""3s2.3p3.(4S*).7d""","=""3D*""","=""2""",,"=""T7952""","=""L7444""",
"=""617.582""","=""617.582""","=""7""","=""1.50e-02""",D+,"=""64892.582""","=""81080.29""","=""3s2.3p3.(4S*).4p""","=""3P""","=""2""","=""3s2.3p3.(4S*).7d""","=""3D*""","=""3""",,"=""T7952""","=""L7444,L7427""",
"=""639.517""","=""639.516""","=""2""","=""5.23e-03""",D,"=""64888.964""","=""80521.46""","=""3s2.3p3.(4S*).4p""","=""3P""","=""1""","=""3s2.3p3.(4S*).8s""","=""3S*""","=""1""",,"=""T7952""","=""L7444,L7427""",
"=""639.608""","=""639.615""","=""1""","=""1.75e-03""",E,"=""64891.386""","=""80521.46""","=""3s2.3p3.(4S*).4p""","=""3P""","=""0""","=""3s2.3p3.(4S*).8s""","=""3S*""","=""1""",,"=""T7952""","=""L7444""",
"=""639.664""","=""639.664""","=""3""","=""8.69e-03""",D,"=""64892.582""","=""80521.46""","=""3s2.3p3.(4S*).4p""","=""3P""","=""2""","=""3s2.3p3.(4S*).8s""","=""3S*""","=""1""",,"=""T7952""","=""L7444,L7427""",
"=""640.358""","=""640.357""","=""1""","=""6.93e-03""",D,"=""63446.065""","=""79058.04""","=""3s2.3p3.(4S*).4p""","=""5P""","=""1""","=""3s2.3p3.(4S*).7s""","=""5S*""","=""2""",,"=""T7952""","=""L7427""",
"=""640.813""","=""640.812""","=""2""","=""1.15e-02""",D,"=""63457.142""","=""79058.04""","=""3s2.3p3.(4S*).4p""","=""5P""","=""2""","=""3s2.3p3.(4S*).7s""","=""5S*""","=""2""",,"=""T7952""","=""L7427""",
"=""641.550""","=""641.548""","=""3""","=""1.61e-02""",D+,"=""63475.051""","=""79058.04""","=""3s2.3p3.(4S*).4p""","=""5P""","=""3""","=""3s2.3p3.(4S*).7s""","=""5S*""","=""2""",,"=""T7952""","=""L7427""",
"=""653.561""","=""653.558""","=""2""","=""8.69e-03""",D,"=""64888.964""","=""80185.60""","=""3s2.3p3.(4S*).4p""","=""3P""","=""1""","=""3s2.3p3.(4S*).6d""","=""3D*""","=""1""",,"=""T7952""","=""L7444,L7427""",
"=""653.641""","=""653.634""","=""4""","=""1.56e-02""",D+,"=""64888.964""","=""80183.83""","=""3s2.3p3.(4S*).4p""","=""3P""","=""1""","=""3s2.3p3.(4S*).6d""","=""3D*""","=""2""",,"=""T7952""","=""L7444""",
"=""653.667""","=""653.661""","=""2""","=""1.16e-02""",D,"=""64891.386""","=""80185.60""","=""3s2.3p3.(4S*).4p""","=""3P""","=""0""","=""3s2.3p3.(4S*).6d""","=""3D*""","=""1""",,"=""T7952""","=""L7444""",
"=""""","=""653.713+""","=""""","=""5.79e-04""",E,"=""64892.582""","=""80185.60""","=""3s2.3p3.(4S*).4p""","=""3P""","=""2""","=""3s2.3p3.(4S*).6d""","=""3D*""","=""1""",,"=""T7952""","=""""",
"=""653.796""","=""653.788""","=""2""","=""5.21e-03""",D,"=""64892.582""","=""80183.83""","=""3s2.3p3.(4S*).4p""","=""3P""","=""2""","=""3s2.3p3.(4S*).6d""","=""3D*""","=""2""",,"=""T7952""","=""L7444,L7427""",
"=""653.857""","=""653.860""","=""6""","=""2.08e-02""",D+,"=""64892.582""","=""80182.16""","=""3s2.3p3.(4S*).4p""","=""3P""","=""2""","=""3s2.3p3.(4S*).6d""","=""3D*""","=""3""",,"=""T7952""","=""L7444,L7427""",
"=""674.358""","=""674.354""","=""6""","=""2.52e-02""",D+,"=""63446.065""","=""78270.99""","=""3s2.3p3.(4S*).4p""","=""5P""","=""1""","=""3s2.3p3.(4S*).5d""","=""5D*""","=""2""",,"=""T7952""","=""L7427""",
"=""""","=""674.858""","=""""","=""4.21e-02""",D+,"=""63457.142""","=""78270.99""","=""3s2.3p3.(4S*).4p""","=""5P""","=""2""","=""3s2.3p3.(4S*).5d""","=""5D*""","=""2""",,"=""T7952""","=""""",
"=""674.879""","=""674.879""","=""8""","=""4.81e-02""",D+,"=""63457.142""","=""78270.52""","=""3s2.3p3.(4S*).4p""","=""5P""","=""2""","=""3s2.3p3.(4S*).5d""","=""5D*""","=""3""",,"=""T7952""","=""L7427""",
"=""""","=""675.675""","=""""","=""4.81e-03""",D,"=""63475.051""","=""78270.99""","=""3s2.3p3.(4S*).4p""","=""5P""","=""3""","=""3s2.3p3.(4S*).5d""","=""5D*""","=""2""",,"=""T7952""","=""""",
"=""""","=""675.696""","=""""","=""2.41e-02""",D+,"=""63475.051""","=""78270.52""","=""3s2.3p3.(4S*).4p""","=""5P""","=""3""","=""3s2.3p3.(4S*).5d""","=""5D*""","=""3""",,"=""T7952""","=""""",
"=""675.716""","=""675.715""","=""10""","=""7.22e-02""",D+,"=""63475.051""","=""78270.10""","=""3s2.3p3.(4S*).4p""","=""5P""","=""3""","=""3s2.3p3.(4S*).5d""","=""5D*""","=""4""",,"=""T7952""","=""L7427""",
"=""699.279""","=""699.285""","=""3""","=""9.32e-03""",D,"=""64888.964""","=""79185.35""","=""3s2.3p3.(4S*).4p""","=""3P""","=""1""","=""3s2.3p3.(4S*).7s""","=""3S*""","=""1""",,"=""T7952""","=""L7444,L7427""",
"=""699.399""","=""699.403""","=""1""","=""3.11e-03""",D,"=""64891.386""","=""79185.35""","=""3s2.3p3.(4S*).4p""","=""3P""","=""0""","=""3s2.3p3.(4S*).7s""","=""3S*""","=""1""",,"=""T7952""","=""L7444""",
"=""699.458""","=""699.462""","=""4""","=""1.55e-02""",D,"=""64892.582""","=""79185.35""","=""3s2.3p3.(4S*).4p""","=""3P""","=""2""","=""3s2.3p3.(4S*).7s""","=""3S*""","=""1""",,"=""T7952""","=""L7444,L7427""",
